name,honor,class,LWHonor,standing,rank,rankProgress,RP
Xiaoxiaofeng,8699,HUNTER,98910,1745,4,0.8352941670455,14177
Priestosis,4996,PRIEST,48466,2688,4,0.92549025081098,14628
Saphyr,7821,MAGE,286387,282,7,0.066666670609266,25334
Xxlongxia,8476,ROGUE,67746,2256,4,0.57647062232718,12883
Partyrizzl,9271,HUNTER,88850,1907,8,0.074509808328003,30373
Qsmeimei,2575,PALADIN,144424,1133,7,0.2000000118278,26001
Chenhh,40167,HUNTER,571702,82,5,0.035294119734317,15177
Xiaoyouyou,6192,HUNTER,153742,1046,8,0.6117647420615,33059
Auai,50733,MAGE,835189,19,11,0.90980397537351,49550
Cathernia,19509,WARRIOR,53992,2559,3,0.73333337670192,8667
Helene,26922,HUNTER,356850,197,9,0.72156867012382,38608
Nairi,176,DRUID,351,7530,4,0.81960789160803,14099
Arimash,176,HUNTER,34008,3140,7,0.67450984381139,28373
Priestergodx,916,PRIEST,1181,5917,1,0.7490196521394,0
Imzh,225,MAGE,1625,5509,7,0.81960789160803,29099
Nepia,37317,MAGE,828033,23,12,0.91764711309224,54589
Candide,324,PALADIN,4284,4809,1,0.75294122099876,0
Xione,860,MAGE,3004,5020,5,0.66274513723329,18314
Caintime,18460,WARRIOR,431108,144,8,0.18039216753095,30902
Winidrunner,24527,HUNTER,406009,160,9,0.16470589209348,35824
Vielot,4069,WARLOCK,86679,1938,4,0.24313726928085,11216
Aivi,15306,ROGUE,829789,22,11,0.55686277803034,47785
Lonk,327,ROGUE,365,7494,1,0.10980392806232,0
Xiongmao,1706,WARLOCK,165147,937,5,0.98823535256088,19942
Hesteelsker,33292,HUNTER,184766,787,4,0.19215687410906,10961
Zebranda,17766,ROGUE,372809,186,9,0.71372553240508,38569
Brightside,8260,WARRIOR,486778,112,9,0.74509808328003,38726
Wigglez,4293,WARLOCK,50189,2649,5,0.39607845479622,16981
Netherspite,9906,WARRIOR,284316,285,5,0.678431391716,18393
Bmu,70008,WARRIOR,408119,158,11,0.10196079034358,45510
Slaanesh,38112,PALADIN,199259,662,11,0.52549022715539,47628
Carlota,13147,PRIEST,24943,3455,3,0.4117647302337,7059
Karat,9527,ROGUE,68509,2244,4,0.094117652624846,10471
Grzz,30005,WARRIOR,402028,166,9,0.6980392569676,38491
Tianor,352,WARRIOR,702,6624,1,0.21568628726527,0
Ds,810,MAGE,30927,3256,7,0.19215687410906,25961
Saixx,2655,PALADIN,588,6891,1,0.68235298153013,0
Lolol,8130,MAGE,184365,790,7,0.89411769993603,29471
